"TextTitle","Text_Author","TotalSentences","SentencesWithTokens","PercentageSentencesWithTokens","TotalTokens","AvgSentenceLengthInChars","AvgSentenceLengthInWords","POSDistribution"
"Детство, юность, отрочество","Лев Николаевич Толстой","4975","26","0.52","71","310.31","48.04","{""ADJ"": 8, ""ADP"": 2, ""DET"": 4, ""NOUN"": 19, ""PART"": 2, ""VERB"": 6, ""CCONJ"": 2, ""PUNCT"": 1, ""VERB_HEAD"": 18}"
"Мы (сборник)","Евгений Иванович Замятин","7906","40","0.51","99","154.74","25.55","{""ADJ"": 27, ""ADP"": 10, ""ADV"": 2, ""DET"": 3, ""NOUN"": 19, ""PART"": 3, ""PRON"": 3, ""VERB"": 3, ""CCONJ"": 2, ""PROPN"": 1, ""PUNCT"": 2, ""SCONJ"": 2, ""VERB_HEAD"": 14}"
"Двенадцать стульев","Илья Ильф, Евгений Петров","12728","64","0.50","142","151.36","20.42","{""ADJ"": 28, ""ADP"": 7, ""ADV"": 1, ""DET"": 1, ""NUM"": 2, ""INTJ"": 1, ""NOUN"": 23, ""PART"": 1, ""PRON"": 2, ""VERB"": 2, ""PUNCT"": 1, ""SPACE"": 2, ""VERB_HEAD"": 39}"
"Яма","Александр Иванович Куприн","6621","33","0.50","92","216.45","31.30","{""ADJ"": 18, ""ADP"": 8, ""ADV"": 1, ""AUX"": 1, ""DET"": 3, ""NOUN"": 19, ""PART"": 1, ""PRON"": 3, ""VERB"": 2, ""CCONJ"": 5, ""SCONJ"": 2, ""VERB_HEAD"": 19}"
"Гранатовый браслет","Александр Иванович Куприн","1121","5","0.45","10","121.00","16.80","{""ADJ"": 3, ""NOUN"": 2, ""PART"": 1, ""VERB_HEAD"": 4}"
"Мастер и Маргарита","Михаил Афанасьевич Булгаков","8448","38","0.45","84","146.79","22.87","{""ADJ"": 9, ""ADP"": 7, ""ADV"": 1, ""DET"": 1, ""NOUN"": 18, ""PART"": 1, ""PRON"": 1, ""VERB"": 5, ""CCONJ"": 5, ""PROPN"": 1, ""VERB_HEAD"": 29}"
"Белая гвардия","Михаил Афанасьевич Булгаков","7541","34","0.45","75","141.97","21.75","{""ADJ"": 13, ""ADP"": 4, ""AUX"": 1, ""DET"": 2, ""NOUN"": 11, ""PRON"": 1, ""VERB"": 2, ""CCONJ"": 4, ""PROPN"": 1, ""PUNCT"": 1, ""SCONJ"": 1, ""VERB_HEAD"": 26}"
"Дворянское гнездо","Иван Сергеевич Тургенев","2979","13","0.44","36","375.69","54.83","{""ADJ"": 9, ""ADP"": 2, ""DET"": 5, ""NUM"": 1, ""NOUN"": 7, ""PRON"": 2, ""VERB"": 1, ""CCONJ"": 1, ""SCONJ"": 1, ""VERB_HEAD"": 7}"
"Три толстяка","Юрий Карлович Олеша","3616","16","0.44","38","78.39","11.71","{""ADJ"": 13, ""ADP"": 1, ""NOUN"": 6, ""CCONJ"": 1, ""VERB_HEAD"": 13}"
"Тарас Бульба","Николай Васильевич Гоголь","2547","11","0.43","23","180.74","29.48","{""ADJ"": 3, ""ADP"": 4, ""NOUN"": 3, ""VERB"": 2, ""CCONJ"": 1, ""VERB_HEAD"": 9}"
"Воскресение","Лев Николаевич Толстой","9053","38","0.42","118","196.68","29.35","{""ADJ"": 25, ""ADP"": 5, ""ADV"": 5, ""DET"": 2, ""NOUN"": 26, ""VERB"": 8, ""CCONJ"": 5, ""PUNCT"": 1, ""VERB_HEAD"": 18}"
"Война и мир","Лев Николаевич Толстой","31753","133","0.42","305","170.32","26.79","{""ADJ"": 18, ""ADP"": 16, ""ADV"": 2, ""AUX"": 1, ""DET"": 5, ""NUM"": 1, ""NOUN"": 44, ""PART"": 1, ""PRON"": 4, ""VERB"": 17, ""CCONJ"": 3, ""PUNCT"": 3, ""SCONJ"": 2, ""VERB_HEAD"": 81}"
"Левша","Николай Семенович Лесков","499","2","0.40","4","167.50","29.25","{""ADP"": 1, ""DET"": 1, ""VERB_HEAD"": 2}"
"Дерсу Узала","Владимир Клавдиевич Арсеньев","6697","27","0.40","66","98.02","16.12","{""ADJ"": 4, ""ADP"": 3, ""ADV"": 2, ""AUX"": 2, ""DET"": 3, ""NOUN"": 14, ""PART"": 1, ""PRON"": 2, ""VERB"": 6, ""CCONJ"": 1, ""PUNCT"": 1, ""VERB_HEAD"": 22}"
"Господа Головлевы","Михаил Евграфович Салтыков-Щедрин","6916","24","0.35","54","190.17","28.59","{""ADJ"": 7, ""ADP"": 4, ""ADV"": 2, ""DET"": 5, ""NOUN"": 8, ""VERB"": 3, ""CCONJ"": 1, ""PUNCT"": 1, ""VERB_HEAD"": 16}"
"Республика ШКИД","Григорий Георгиевич Белых","13381","46","0.34","94","94.93","14.46","{""ADJ"": 16, ""ADP"": 5, ""NOUN"": 16, ""PART"": 1, ""VERB"": 1, ""CCONJ"": 3, ""PROPN"": 1, ""PUNCT"": 1, ""SCONJ"": 1, ""VERB_HEAD"": 38}"
"Золотой теленок","Илья Ильф, Евгений Петров","11390","37","0.32","89","134.74","18.94","{""ADJ"": 22, ""ADP"": 6, ""ADV"": 1, ""DET"": 1, ""NOUN"": 14, ""VERB"": 4, ""CCONJ"": 1, ""PROPN"": 1, ""VERB_HEAD"": 22}"
"Очарованный странник","Николай Семенович Лесков","2163","7","0.32","17","160.18","28.76","{""ADJ"": 2, ""ADP"": 2, ""ADV"": 1, ""NOUN"": 4, ""VERB"": 2, ""CCONJ"": 1, ""VERB_HEAD"": 5}"
"Фома Гордеев","Максим Горький","5801","18","0.31","34","222.82","35.41","{""ADJ"": 4, ""ADP"": 2, ""NOUN"": 7, ""PART"": 1, ""PROPN"": 1, ""SCONJ"": 1, ""VERB_HEAD"": 16}"
"Чапаев","Дмитрий Андреевич Фурманов","5001","15","0.30","31","290.55","44.26","{""ADJ"": 5, ""ADP"": 4, ""AUX"": 1, ""NUM"": 1, ""NOUN"": 4, ""CCONJ"": 1, ""VERB_HEAD"": 11}"
"На ножах","Николай Семенович Лесков","14887","45","0.30","112","262.46","39.77","{""ADJ"": 19, ""ADP"": 10, ""DET"": 2, ""NOUN"": 19, ""PART"": 1, ""PRON"": 2, ""VERB"": 8, ""CCONJ"": 4, ""PUNCT"": 1, ""SCONJ"": 1, ""VERB_HEAD"": 32}"
"Легенды и мифы Древней Греции","Николай Альбертович Кун","12187","37","0.30","72","120.40","18.31","{""ADJ"": 5, ""ADP"": 3, ""AUX"": 1, ""DET"": 6, ""NOUN"": 13, ""VERB"": 3, ""CCONJ"": 2, ""SCONJ"": 1, ""VERB_HEAD"": 31}"
"Рассказы (сборник)","Михаил Михайлович Зощенко","340","1","0.29","6","94.00","17.00","{""ADV"": 1, ""NOUN"": 2, ""VERB"": 2, ""CCONJ"": 1}"
"Отцы и дети","Иван Сергеевич Тургенев","4671","13","0.28","36","162.36","23.36","{""ADJ"": 9, ""ADP"": 2, ""DET"": 3, ""NOUN"": 5, ""PRON"": 1, ""VERB"": 1, ""CCONJ"": 1, ""SCONJ"": 1, ""VERB_HEAD"": 10}"
"Педагогическая поэма","Антон Семенович Макаренко","14612","39","0.27","88","157.18","23.16","{""ADJ"": 10, ""ADP"": 7, ""ADV"": 1, ""AUX"": 1, ""DET"": 2, ""NOUN"": 21, ""PART"": 3, ""PRON"": 3, ""VERB"": 3, ""CCONJ"": 3, ""PROPN"": 2, ""VERB_HEAD"": 25}"
"Адам и Ева","Михаил Афанасьевич Булгаков","2551","7","0.27","16","63.69","10.69","{""ADJ"": 2, ""ADP"": 1, ""ADV"": 1, ""AUX"": 2, ""NOUN"": 2, ""PRON"": 2, ""VERB"": 1, ""CCONJ"": 1, ""SPACE"": 1, ""VERB_HEAD"": 3}"
